measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Eastern Europe,Male,<5 years,HIV/AIDS,Number,1990,194.41637123059095,205.006418885,185.58042139075002
Deaths,Eastern Europe,Female,<5 years,HIV/AIDS,Number,1990,97.62899138213594,105.65379341524998,91.064564292225
Deaths,Eastern Europe,Male,5-19 years,HIV/AIDS,Number,1990,86.56357341349715,88.098595374,85.050075036
Deaths,Eastern Europe,Female,5-19 years,HIV/AIDS,Number,1990,67.455598450338,68.36800384850001,66.61164917975
Deaths,Eastern Europe,Male,55+ years,HIV/AIDS,Number,1990,147.3979547544296,151.86260712090672,143.50345402232824
Deaths,Eastern Europe,Female,55+ years,HIV/AIDS,Number,1990,125.53028755744961,127.83864346881862,123.26324690372527
Deaths,Eastern Europe,Male,20-54 years,HIV/AIDS,Number,1990,3598.6426307132474,3651.5305773812497,3545.8847131857506
Deaths,Eastern Europe,Female,20-54 years,HIV/AIDS,Number,1990,763.0437902569108,772.1612375692499,753.7950230237501
Deaths,High-income Asia Pacific,Male,5-19 years,HIV/AIDS,Number,1990,4.34543556318932,4.772389465815,3.96559235285
Deaths,High-income Asia Pacific,Female,5-19 years,HIV/AIDS,Number,1990,1.0080168530087,1.1142781974,0.9187910349024998
Deaths,High-income Asia Pacific,Male,55+ years,HIV/AIDS,Number,1990,24.53243431517773,25.75672543062795,23.3598724518007
Deaths,High-income Asia Pacific,Female,55+ years,HIV/AIDS,Number,1990,14.165596288359426,15.017180269054874,13.3588734848933
Deaths,High-income Asia Pacific,Male,20-54 years,HIV/AIDS,Number,1990,62.291923525934024,64.54557704575,60.01998194624999
Deaths,High-income Asia Pacific,Female,20-54 years,HIV/AIDS,Number,1990,16.38488935628499,16.939917376374996,15.866350622699999
Deaths,Australasia,Male,<5 years,HIV/AIDS,Number,1990,1.566625307445701,1.6844997855,1.4574002417499998
Deaths,Australasia,Female,<5 years,HIV/AIDS,Number,1990,0.4713335055647999,0.5218184872499999,0.42934858475
Deaths,Australasia,Male,5-19 years,HIV/AIDS,Number,1990,2.8762898993953994,3.036269233575,2.709928211
Deaths,Australasia,Female,5-19 years,HIV/AIDS,Number,1990,0.9704162515149997,1.033241806,0.9049086700000001
Deaths,Australasia,Male,55+ years,HIV/AIDS,Number,1990,41.15056051203345,43.450480082930156,39.07487345845294
Deaths,Australasia,Female,55+ years,HIV/AIDS,Number,1990,3.484323634174622,3.745135526511622,3.25276311679477
Deaths,Australasia,Male,20-54 years,HIV/AIDS,Number,1990,371.1110866429102,383.04079666499996,360.713379925
Deaths,Australasia,Female,20-54 years,HIV/AIDS,Number,1990,8.713301153471004,9.1100402375,8.355260415000002
Deaths,Southeast Asia,Male,<5 years,HIV/AIDS,Number,1990,327.2058272434868,402.44258399268597,267.5271806999253
Deaths,Southeast Asia,Female,<5 years,HIV/AIDS,Number,1990,305.16573660139784,375.1112248400432,248.2655464459768
Deaths,Southeast Asia,Male,5-19 years,HIV/AIDS,Number,1990,77.68534422039234,85.76497424706366,72.6174667601587
Deaths,Southeast Asia,Female,5-19 years,HIV/AIDS,Number,1990,48.319803177656674,54.12045322651326,44.07558708714655
Deaths,Southeast Asia,Male,55+ years,HIV/AIDS,Number,1990,102.2877434347329,176.1968250524476,60.29549952940632
Deaths,Southeast Asia,Female,55+ years,HIV/AIDS,Number,1990,61.3438103812592,101.1354871563789,37.528905535693944
Deaths,Southeast Asia,Male,20-54 years,HIV/AIDS,Number,1990,942.2623710555268,1425.0592942844628,635.291289582259
Deaths,Southeast Asia,Female,20-54 years,HIV/AIDS,Number,1990,381.0565506781303,562.4544575893938,271.8339780007218
Deaths,South Asia,Male,<5 years,HIV/AIDS,Number,1990,423.1834189583897,629.8861939554782,321.806923021098
Deaths,South Asia,Female,<5 years,HIV/AIDS,Number,1990,475.06501759534177,673.2751979376388,372.11391334358706
Deaths,South Asia,Male,5-19 years,HIV/AIDS,Number,1990,5.97226490044202,16.82346499087552,1.283545616014919
Deaths,South Asia,Female,5-19 years,HIV/AIDS,Number,1990,5.380493988531902,16.041259547069025,1.2805767369126417
Deaths,South Asia,Male,55+ years,HIV/AIDS,Number,1990,52.66683713287861,198.8145426280517,13.324973721771613
Deaths,South Asia,Female,55+ years,HIV/AIDS,Number,1990,23.876910313222826,66.91176096548517,8.441623911478446
Deaths,South Asia,Male,20-54 years,HIV/AIDS,Number,1990,330.44182584698956,1024.3045609810015,60.219389135625235
Deaths,South Asia,Female,20-54 years,HIV/AIDS,Number,1990,114.24882350048343,355.6415972481545,23.348373768633195
Deaths,Central Europe,Male,<5 years,HIV/AIDS,Number,1990,81.1653076778799,88.427208661075,73.79407115000001
Deaths,Central Europe,Female,<5 years,HIV/AIDS,Number,1990,69.87337399091413,76.98533037349999,62.85033463125001
Deaths,Central Europe,Male,5-19 years,HIV/AIDS,Number,1990,5.394825314102317,5.846832640435,4.8746052614624995
Deaths,Central Europe,Female,5-19 years,HIV/AIDS,Number,1990,11.913452504119839,13.498376709912499,10.69013480388525
Deaths,Central Europe,Male,55+ years,HIV/AIDS,Number,1990,76.38281886093148,81.31585575532847,70.76544174778347
Deaths,Central Europe,Female,55+ years,HIV/AIDS,Number,1990,21.915637258904077,23.86909113717355,20.108206758379918
Deaths,Central Europe,Male,20-54 years,HIV/AIDS,Number,1990,155.2624144127371,170.23004206775,135.17306586025003
Deaths,Central Europe,Female,20-54 years,HIV/AIDS,Number,1990,49.612027803445976,55.60139368325001,41.35216484525
Deaths,Southern Latin America,Male,<5 years,HIV/AIDS,Number,1991,5.323432976340078,5.591843209856188,5.06301779733782
Deaths,Southern Latin America,Female,<5 years,HIV/AIDS,Number,1991,3.9763945891479455,4.208141317921003,3.7460101308723726
Deaths,Southern Latin America,Male,5-19 years,HIV/AIDS,Number,1991,15.058336507010347,15.692005930745733,14.430283081232307
Deaths,Southern Latin America,Female,5-19 years,HIV/AIDS,Number,1991,5.866953854005356,6.157350889776313,5.595911701208301
